id;name;year;one_event_price;two_events_price;three_events_price
1;Jewelery;19884;70685;71134;72900
2;quantify Unbranded Plastic Tuna Frozen;86310;85003;62329;44945
3;Ergonomic;37081;31098;66884;32518
4;pixel withdrawal;88721;56124;47221;38292
5;Developer;84891;76078;72172;56127
6;compress;49379;4043;52273;71066
7;Small partnerships;20171;3142;89576;63641
8;knowledge base Buckinghamshire;90756;13933;24929;60441
9;Saint Lucia white;94285;7697;59886;28975
10;Salad Web virtual;63340;10549;87146;45653
