id;name;default_championship_name;default_one_event_price;default_two_events_price;default_three_events_price
1;Tasty Metal Bacon;red Chips Soap;30424;61165;52475
2;web-readiness;Namibia;39986;13949;4666
3;Coordinator;Common;78517;61838;19967
4;Cambridgeshire Mississippi;HDD;68030;17052;45049
5;Automotive;Planner cross-platform access;9767;23089;68423
6;infomediaries;Investment Account;83319;3438;17336
7;incentivize Tuna copy;Costa Rica Mayotte;18485;3131;96958
8;connect Markets Chief;capacitor archive;57044;19598;52083
9;Tactics;scale interactive generating;35675;96525;28093
10;Faroe Islands Plastic;Car Industrial deliverables;39488;19871;29348
